X,Y,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
0.35626,0.77154,1.192454124922325,-0.276088958939756,-0.5264751377754118,-0.18870546319765846,0.15689715595411383,0.29392901141062056,0.4245872921947316,0.5083670377715961,0.5412773182061625,0.5526842298861977,0.5893471757820812,0.6410505665824497,0.6498365690514064,0.6524872613217019,0.6519213831965825,0.6375361655948671,0.624908148486943,0.5987288394353739,0.5712092927190486,0.5397881652453225,0.5212035362940378,0.5175104369511544,0.4967814277362601,0.5006532254344443,0.4618458992749511,1.1813152607752408,2.9446808478244466,2.9734214999686603,2.0801382048791135,1.4187458088515879,1.2606573305288018,1.1458436372480296,1.0436579610751815,0.9656561289863765,0.9336393403283143,0.8882797411411245,0.8570075289634822,0.8180215044486882,0.7815372569081055,0.7506522245002818,0.724562264626363,0.6906989262968589,0.6610945654353576,0.6239848736512221,0.5911043762758725,0.5512248599845745,0.5194165527410297,0.4800135653972005,0.4618458992749511
1.33331,1.60115,0.8688314034725528,-0.31826177079074786,-0.4808772741144878,-0.0908383306112466,0.25157750120432787,0.3796446558365772,0.5042271925404606,0.5842244895967912,0.6068000484831272,0.6128162264449213,0.6509087591832112,0.6907287093560758,0.6948387715279944,0.6965661889625689,0.6901330481717397,0.6710718902729863,0.6594267141192167,0.6284821155929592,0.598103395191821,0.565580294527073,0.5498846223198183,0.5468169672204877,0.5277558093217343,0.5358568014287045,0.44132537147457446,0.8611473741946177,2.6487563714463,2.5218209730642895,1.434709528591794,1.298124419023539,1.1652621918573847,1.0663228691391677,0.9742634331000324,0.9047199898287993,0.8797320031459023,0.840626846394241,0.8137923100399024,0.7798694055919647,0.7474654371640839,0.719886324329325,0.6968044534363034,0.6657109396139619,0.6381318267792031,0.6023623726598237,0.5701371025872438,0.5306745491249809,0.4988364588222194,0.457795403221466,0.44132537147457446
3.66108,2.87759,0.5633167820265961,-0.3292815027009648,-0.4055857004144118,0.022903172537720857,0.35906456191776687,0.4679812094736124,0.553547938603485,0.6567760218489213,0.6740204131354498,0.6730971382997288,0.705292625313092,0.7444871312424036,0.7421938356827099,0.7367435358460351,0.7268555601860568,0.7031482450494823,0.6883758476779483,0.6564484081975365,0.6287799461851273,0.5950059570332736,0.582139675451615,0.5827353366359511,0.5714773402519999,0.49308832839337663,0.43834706555289427,0.5550073085051083,2.5012706622046963,1.8839274107588206,1.4966285087035254,1.2679541800369185,1.1107294104314198,0.9931458926434851,0.9034691013416937,0.8461367123493495,0.8326152034649212,0.8019684355308317,0.7814776907896719,0.753005086178409,0.7259322853503359,0.7022547532729781,0.6831935953742247,0.6551379535919972,0.6305967127973522,0.5971205542376666,0.5665333524220107,0.52826212132842,0.49675164467704325,0.45523406012882106,0.43834706555289427
7.2922,4.15707,0.21098319149182648,-0.3276434344440406,-0.3148665020400325,0.12976478900760702,0.45880802723483727,0.5261177410648102,0.6234189955261028,0.7112790202156692,0.725157925810699,0.7136914480122302,0.7383220379845256,0.7762656554267315,0.7693857687476502,0.7550601172643684,0.7423427509787939,0.7153295162691544,0.6951663851793792,0.6618391419157776,0.6373872502987831,0.6053704616407207,0.5984905749616395,0.6010221349950676,0.586517785156485,0.4440058468040866,0.43495179680217877,0.18903307684904333,1.8661767074656066,1.5608407843749508,1.2758169076701542,1.1025986352652328,1.0017829798163576,0.9264616230570649,0.8592710414639592,0.8055424026368482,0.7948800674372329,0.7677774835499429,0.7512478856846178,0.7270938246597912,0.7037736892930351,0.6815853101765175,0.658324740928195,0.6250570637830271,0.5984607919024226,0.5668907491326124,0.5397285991268888,0.505835477738168,0.47727352394925465,0.43721530930265573,0.43495179680217877
11.35604,5.13022,-0.11904288768955824,-0.2939587944698373,-0.19210073194837396,0.25208381321101353,0.553101192715233,0.6260101216779647,0.7054415406091761,0.7837114202309321,0.7898467304295933,0.770189911346504,0.7901743440809782,0.8211189426072356,0.8108437871774389,0.7914550156273007,0.772572556083848,0.7467208606836638,0.721256345053298,0.6902819634678238,0.6665448652720325,0.6399188103322113,0.6343791613178861,0.6460243374716557,0.5125366660619485,0.3977825388996097,0.4421890801918617,-0.14328629789203517,1.3170664446854254,1.2734044798735933,1.104236703522157,0.9872190638593413,0.915322758909981,0.8623982626817235,0.8048871753340785,0.7591999624955039,0.754226191606298,0.7325739075556829,0.7199458904477587,0.6987701353446124,0.6781900414258021,0.6622858878040297,0.6490919925709864,0.6286012478298265,0.6132927553923901,0.5919680849931598,0.5762724127859051,0.5542329489654715,0.5232585673799972,0.45076660124630075,0.4421890801918617
15.59135,5.85007,-0.3678505643867235,-0.2150039044860948,-0.04515111777267207,0.3961742537019024,0.6710421072137696,0.7245622646263631,0.7905913069100136,0.8598964857075121,0.8534633449166827,0.8265394593846935,0.8389589950781001,0.8637087172872627,0.8483406587313929,0.8237398518183143,0.8023853983598671,0.7735851800972194,0.7471080404534823,0.719290663144989,0.6972511993245555,0.6761945764582764,0.6723525618193088,0.6439693063856965,0.4499028925290135,0.39280876801040376,0.43036520568279124,-0.3910217844573955,0.8021173508269158,0.9772715220809294,0.9276827284849538,0.8660020128469564,0.8230846245155446,0.7866301600341787,0.7410322963732546,0.7038630384706855,0.7057095881421273,0.6898352175795717,0.6815853101765176,0.6641324374754715,0.6472752259587614,0.6341111137849349,0.6227935512825501,0.6035536950284959,0.5881856364726259,0.5665333524220109,0.5511652938661409,0.532491315737206,0.525254032347523,0.5104518519167723,0.43036520568279124
19.91328,6.3748,-0.4910928634258509,-0.08702609903149591,0.13289201022537125,0.528708867216672,0.7916337139826015,0.8139412253359863,0.861862167615821,0.9207730587466556,0.9025160434467558,0.8724351536377858,0.8723458044601353,0.8920621896616583,0.8695461968937561,0.8425329621841163,0.8101289937562356,0.7866897261526123,0.7642035164439268,0.7377561598594065,0.7187247850198698,0.7016590920886422,0.7007656003121382,0.5249859848145717,0.423336403707626,0.39653165041250393,0.399241908801233,-0.5195952510963305,0.35272077030458804,0.6881078001449973,0.7349863353522438,0.7303997442328563,0.7199161073885418,0.7018080073847262,0.663894173001737,0.6353917853312574,0.6443564861555148,0.6339324154296341,0.6302095330275338,0.6172836853274416,0.6039706578575311,0.5936657193685175,0.585147764432512,0.5685883835079701,0.5544712134392059,0.5329976277438916,0.5162297654048319,0.49618576655192403,0.4871019334907994,0.47331237707342,0.399241908801233
24.28443,6.74148,-0.5229309537286124,0.12714387979652841,0.3788405132377235,0.7451125754859566,0.9635117487227668,0.9674728955986016,0.994486130308241,1.0322212663359296,1.0056547775145417,0.9645243727361381,0.9646435049730052,0.9708383812901001,0.9446888552977478,0.9154121080876313,0.8777067551191597,0.8498595947514498,0.8268075069176449,0.8057211009921489,0.7913061003312166,0.7784696018087749,0.6403059901020297,0.5291258300457072,0.46917253184228447,0.4428145244354146,0.41592042196264223,-0.5499739714974687,-0.047384847213932234,0.4044539441641734,0.5488124321880135,0.5998605956856123,0.6200535098346043,0.6162114951956368,0.59494639091484,0.5749321751211489,0.5903300167362358,0.5856838594984145,0.5870240971631706,0.5772850367992762,0.5675161933761652,0.5601002116311815,0.5538457691956531,0.5391925040609863,0.526445354716195,0.506133308330336,0.4894250121097099,0.4681599078289132,0.45803366769520043,0.4440654129225202,0.41592042196264223
28.68627,6.9748,-0.4807581418776205,0.36406811586618965,0.6079615877925826,0.9402511794744443,1.1141544622413522,1.080112425556547,1.0882134176635174,1.1133801027017152,1.0766278076281814,1.0237926605775745,1.0157810176482547,1.0180147470895147,0.9851640327733818,0.9515687419768291,0.911391395093363,0.8872075510093196,0.8647809074190677,0.8492341505078969,0.836248736689371,0.755864259863222,0.5858625578537153,0.5339209025796123,0.48531494993779123,0.45192814055575603,0.4103509898891002,-0.5089626989559322,-0.30051106749753387,0.1902243992177154,0.39685926406388883,0.49016958859012993,0.5287982163943223,0.5429153864630866,0.5310915119540162,0.5189995899119945,0.5405327417257424,0.5407412231402601,0.5466680519244037,0.5411581859692953,0.5350526588298509,0.5310319458355826,0.5279642907362518,0.5164382468193496,0.5064907050409376,0.4878167269120026,0.4715551765796286,0.4491880991078102,0.43608355305241725,0.4180945852854688,0.4103509898891002
33.10518,7.09219,-0.27665483706487526,0.6158243154258184,0.8640661139978644,1.1232680783616935,1.2461827637494363,1.1820002711372275,1.1704146611018915,1.184621180348306,1.1345856408640786,1.0714455553244577,1.0568816393674416,1.0553627033473847,1.013457939029344,0.9795648176406231,0.9359028528287912,0.917109742462989,0.9020395144992871,0.8880116936081733,0.8469110718889864,0.6488239450380352,0.5768680739702411,0.5430643017591706,0.4881145575041707,0.4495752788776287,0.38762651570668016,-0.3007195489120513,-0.46318613693970717,0.00032761365138486443,0.2516370673227615,0.3811635918566341,0.44275495831698103,0.4694405793752357,0.46547943249940105,0.45931433924152304,0.48757846243826825,0.4927904978012086,0.5026486904019701,0.5012488866187804,0.4988066757630027,0.4978238348088482,0.4986875435261354,0.4906163344783821,0.48385558003616796,0.46810034171047965,0.45454904976683463,0.4335817760782059,0.4202389655490786,0.39945039021575063,0.38762651570668016
