Run_nr	Time	Alpha	Delta_Pb	P_bar	T	rpm	rho	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	0	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      42	 10:19:39	  10.000	  171.96	  998.21	   21.62	  999.96	   1.180	-1590.24	 -898.78	-1015.93	 -715.25	 -599.56	 -500.73	 -440.80	 -404.89	 -358.90	 -312.55	 -289.25	 -273.71	 -245.94	 -219.86	 -191.26	 -166.46	 -141.95	 -115.90	  -89.90	  -65.66	  -46.39	  -29.88	   -9.75	   -2.27	   13.53	0	   93.02	  348.09	  303.36	  229.21	  183.26	  154.05	  139.89	  129.37	  108.75	   97.37	   85.42	   78.20	   71.89	   65.23	   58.21	   54.38	   50.30	   48.89	   47.20	   47.98	   46.65	   48.73	   13.53	  393.15	  392.54	  394.05	  363.26	  360.47	  393.29	  398.63	  402.24	  361.67	  391.78	  391.40	  361.21	  358.99	  394.54	  386.69	  398.13	  368.14	  365.75	  365.43	  364.81	  363.37	  358.73	  340.92	  306.03	  278.84	  280.77	  307.56	  339.54	  356.16	  368.42	  371.43	  360.82	  364.92	  368.72	  366.49	  366.83	  369.01	  365.81	  365.18	  363.97	  366.01	  366.05	  367.03	  370.49	  369.39	  368.81	  369.14	  364.67	    8.61	   21.98	   21.91	   19.27	   17.84	   17.31	   20.26	   15.53	   13.32	   11.81	   11.33	   23.61	   -0.68	   -1.48	   -2.13	   -1.33
      43	 10:19:54	   9.500	  169.27	  998.24	   21.63	  999.93	   1.180	-1459.80	 -861.66	 -914.46	 -736.93	 -582.35	 -479.11	 -424.52	 -392.46	 -349.60	 -304.56	 -283.01	 -270.02	 -243.85	 -218.79	 -191.42	 -168.31	 -144.70	 -119.18	  -93.27	  -69.32	  -48.67	  -30.60	   -7.80	    2.51	   21.32	0	  121.23	  342.78	  290.86	  217.71	  171.98	  144.65	  131.26	  121.64	  101.73	   91.11	   79.75	   73.41	   67.44	   61.37	   54.88	   51.67	   48.07	   47.18	   46.05	   47.42	   46.79	   49.60	   21.32	  387.13	  386.33	  387.86	  357.18	  354.15	  386.90	  392.62	  395.88	  355.62	  385.27	  385.26	  354.99	  352.92	  388.37	  380.38	  391.34	  361.90	  359.70	  359.08	  358.82	  358.54	  358.53	  349.05	  315.97	  283.09	  275.41	  299.64	  334.33	  351.94	  363.04	  365.15	  354.46	  358.70	  362.19	  359.63	  359.72	  362.42	  358.64	  358.19	  357.08	  359.05	  359.41	  360.26	  363.28	  362.03	  362.00	  361.91	  357.74	    8.30	   21.44	   21.35	   18.78	   17.43	   17.87	   20.80	   15.79	   12.83	   11.46	   11.05	   23.11	   -0.81	   -1.49	   -2.13	   -1.37
      44	 10:20:09	   9.000	  171.82	  998.24	   21.65	 1000.09	   1.180	-1338.43	 -847.66	 -839.79	 -685.39	 -591.81	 -498.34	 -414.87	 -380.14	 -341.77	 -300.33	 -281.30	 -269.41	 -244.53	 -221.55	 -194.34	 -172.01	 -148.12	 -122.45	  -96.34	  -72.21	  -50.72	  -30.99	   -6.61	    6.33	   28.11	0	  159.60	  346.22	  285.72	  211.11	  164.51	  139.29	  125.88	  116.64	   97.19	   86.98	   76.06	   70.04	   64.50	   58.78	   52.71	   49.82	   46.74	   46.34	   45.72	   47.65	   47.62	   51.19	   28.11	  391.25	  390.62	  392.10	  361.14	  358.62	  391.11	  396.74	  400.23	  359.77	  389.76	  389.32	  359.30	  357.10	  392.59	  384.61	  395.89	  366.14	  363.94	  363.33	  362.72	  362.67	  364.85	  363.60	  338.81	  302.81	  279.16	  294.25	  329.51	  352.32	  366.64	  369.50	  358.79	  362.94	  367.36	  364.35	  364.68	  366.95	  363.59	  362.99	  361.75	  363.82	  363.91	  364.87	  368.21	  367.08	  366.58	  367.03	  362.38	    8.33	   21.29	   21.23	   18.66	   17.34	   18.18	   21.32	   15.97	   12.76	   11.41	   11.07	   22.93	   -1.08	   -1.51	   -2.15	   -1.41
      45	 10:20:18	   8.000	  170.33	  998.25	   21.65	 1000.13	   1.180	 -973.44	 -729.27	 -701.73	 -600.62	 -527.80	 -442.55	 -402.32	 -381.00	 -334.59	 -285.57	 -263.08	 -252.85	 -232.30	 -210.66	 -188.27	 -166.11	 -143.72	 -119.69	  -95.10	  -71.26	  -50.18	  -29.89	   -4.32	   10.03	   33.23	0	  236.79	  342.23	  264.68	  189.02	  144.92	  121.33	  110.19	  102.49	   84.42	   75.34	   65.60	   60.42	   55.86	   51.02	   45.87	   43.84	   41.67	   42.17	   42.33	   45.14	   46.11	   50.47	   33.23	  391.31	  390.71	  392.07	  361.26	  358.73	  391.20	  396.96	  400.35	  359.83	  389.77	  389.39	  359.35	  357.09	  392.75	  384.71	  395.99	  366.27	  364.09	  363.56	  363.07	  362.62	  365.31	  369.04	  363.16	  341.63	  301.75	  285.04	  305.81	  336.13	  363.21	  369.34	  358.84	  363.59	  366.41	  365.08	  365.44	  367.60	  364.37	  363.98	  362.59	  364.66	  364.49	  365.73	  369.00	  367.89	  367.32	  367.74	  363.25	    9.26	   21.35	   21.32	   18.80	   17.54	   18.84	   21.65	   16.11	   13.52	   12.29	   11.86	   22.85	   -1.22	   -1.50	   -2.19	   -1.31
      46	 10:20:30	   6.000	  171.62	  998.23	   21.66	  999.93	   1.180	 -323.87	 -432.80	 -446.78	 -434.85	 -411.88	 -353.64	 -325.56	 -311.53	 -284.41	 -251.99	 -237.93	 -237.01	 -221.97	 -207.72	 -190.90	 -152.65	 -122.00	 -103.30	  -82.83	  -62.69	  -44.30	  -24.15	   -0.24	   15.08	   40.22	0	  334.43	  304.97	  206.51	  136.07	  100.70	   83.37	   75.12	   70.87	   55.86	   49.53	   41.92	   38.99	   36.49	   33.54	   30.22	   29.95	   29.50	   31.88	   33.69	   38.18	   40.85	   46.70	   40.22	  389.95	  389.34	  390.71	  359.89	  357.23	  389.86	  395.51	  398.91	  358.55	  388.45	  388.14	  357.91	  355.80	  391.38	  383.37	  394.65	  364.62	  362.59	  362.19	  361.59	  361.29	  363.94	  367.95	  365.95	  364.39	  364.10	  346.16	  311.46	  293.04	  321.99	  353.85	  355.96	  362.44	  364.83	  363.87	  364.12	  366.56	  363.09	  362.57	  361.37	  363.31	  363.39	  364.46	  367.68	  366.64	  366.16	  366.21	  362.00	   10.97	   21.10	   21.18	   18.87	   17.85	   20.31	   21.84	   16.53	   14.70	   13.79	   13.35	   22.29	   -0.16	   -1.48	   -2.14	   -1.27
      47	 10:20:44	   4.000	  171.57	  998.25	   21.69	  999.91	   1.179	  122.79	 -164.98	 -223.21	 -281.70	 -303.40	 -270.62	 -258.45	 -256.45	 -234.53	 -207.25	 -200.20	 -200.68	 -186.66	 -172.90	 -159.79	 -154.55	 -152.28	 -137.67	  -72.99	  -45.50	  -32.69	  -16.12	    4.37	   17.60	   41.33	0	  348.35	  227.90	  130.19	   75.12	   51.52	   38.33	   35.46	   35.21	   23.62	   20.14	   15.27	   14.71	   14.31	   13.39	   11.97	   13.58	   14.87	   19.10	   22.64	   28.85	   32.77	   39.74	   41.33	  390.26	  389.59	  391.02	  360.35	  357.53	  390.03	  395.91	  399.21	  358.81	  388.76	  388.38	  358.32	  356.14	  391.69	  383.76	  394.97	  365.11	  362.98	  362.51	  361.82	  361.56	  364.37	  368.18	  366.37	  364.73	  365.88	  366.30	  365.75	  347.83	  320.49	  309.22	  312.49	  343.87	  362.13	  364.01	  364.62	  366.81	  363.46	  362.97	  361.76	  363.80	  363.90	  364.95	  368.12	  367.07	  366.48	  366.87	  362.38	   11.61	   19.73	   19.88	   17.87	   17.20	   20.33	   21.40	   16.46	   14.65	   14.30	   13.84	   20.64	   -0.41	   -1.50	   -2.15	   -1.30
      48	 10:21:08	   2.000	  172.72	  998.26	   21.72	 1000.45	   1.179	  334.61	   48.25	  -34.46	 -144.04	 -201.40	 -190.16	 -192.51	 -200.89	 -189.80	 -168.03	 -164.73	 -169.13	 -157.58	 -146.58	 -132.71	 -125.52	 -117.67	 -112.86	 -107.72	  -80.55	  -23.85	   -5.60	   11.22	   20.49	   35.14	0	  273.69	  110.43	   40.80	    8.95	   -2.64	   -7.42	   -4.46	   -0.49	   -7.79	   -7.87	   -9.89	   -8.21	   -6.00	   -4.76	   -3.84	   -0.02	    3.42	    9.48	   14.92	   22.41	   26.77	   32.71	   35.14	  392.49	  391.89	  393.33	  362.58	  359.84	  392.42	  398.10	  401.45	  361.15	  391.11	  390.51	  360.57	  358.61	  393.88	  386.01	  397.39	  367.49	  365.17	  364.58	  364.05	  363.89	  366.55	  370.35	  364.50	  344.01	  316.66	  315.35	  335.43	  351.57	  366.91	  370.52	  360.05	  364.86	  368.14	  366.46	  366.90	  369.06	  365.88	  365.08	  363.98	  365.96	  366.03	  367.10	  370.42	  369.20	  368.78	  369.16	  364.66	   11.19	   18.00	   18.19	   16.32	   15.89	   18.45	   19.99	   15.98	   14.06	   13.71	   13.23	   18.64	    0.13	   -1.49	   -2.13	   -1.27
      49	 10:21:35	  -0.000	  168.67	  998.22	   21.74	 1000.29	   1.179	  334.68	  180.80	  122.69	   -9.24	  -95.53	 -102.68	 -118.59	 -138.80	 -131.24	 -118.62	 -118.70	 -128.60	 -121.65	 -112.33	 -100.96	  -94.35	  -85.33	  -76.91	  -69.57	  -64.88	  -64.49	   -5.87	   29.13	   36.46	   36.46	0	   56.47	  -56.56	  -73.32	  -72.87	  -68.45	  -62.11	  -50.68	  -41.26	  -44.36	  -40.85	  -39.76	  -35.37	  -30.99	  -27.70	  -24.89	  -19.42	  -14.65	   -7.66	   -2.11	    4.52	    7.55	   12.17	   36.46	  385.65	  385.00	  386.31	  355.49	  352.61	  385.04	  390.72	  394.27	  354.08	  383.85	  383.73	  353.51	  351.67	  386.76	  378.91	  390.06	  360.31	  358.17	  357.57	  357.52	  357.11	  359.59	  363.48	  361.05	  356.38	  349.22	  333.77	  323.57	  320.73	  335.88	  349.64	  346.87	  356.30	  360.74	  358.45	  358.64	  361.24	  357.37	  356.72	  355.95	  357.61	  358.20	  359.26	  362.16	  360.91	  360.83	  360.72	  356.37	   13.12	   17.18	   17.48	   16.05	   16.07	   15.05	   20.09	   15.75	   15.32	   15.39	   14.91	   17.44	    0.62	   -1.47	   -2.12	   -1.32
      50	 10:21:57	  -2.000	  173.14	  998.14	   21.75	  999.92	   1.179	  215.32	  259.93	  235.73	   86.77	  -14.43	  -39.24	  -65.90	  -91.07	  -93.72	  -83.41	  -91.95	 -104.37	 -100.60	  -94.18	  -84.53	  -78.65	  -70.01	  -59.92	  -50.35	  -43.32	  -41.08	  -43.68	    0.70	   38.56	   23.97	0	 -260.96	 -253.79	 -195.53	 -156.55	 -133.11	 -115.15	  -96.71	  -81.56	  -79.91	  -72.57	  -68.39	  -61.31	  -54.39	  -49.13	  -44.60	  -37.94	  -32.59	  -25.63	  -20.34	  -13.00	   -2.51	   21.45	   23.97	  393.57	  392.88	  394.37	  363.50	  361.02	  393.65	  398.99	  402.71	  362.15	  392.33	  391.73	  361.70	  359.54	  394.93	  387.02	  398.53	  368.35	  366.13	  365.62	  365.12	  364.85	  367.61	  371.51	  369.68	  368.02	  369.24	  368.68	  365.81	  349.12	  332.98	  324.69	  321.44	  344.65	  361.09	  365.75	  367.73	  370.25	  367.03	  366.20	  365.06	  366.54	  367.18	  368.15	  371.49	  370.30	  369.89	  370.19	  365.88	   13.38	   15.77	   16.13	   14.95	   15.22	   19.02	   19.40	   15.39	   14.74	   15.43	   15.00	   15.71	    0.21	   -1.48	   -2.16	   -1.36
      51	 10:22:17	  -6.000	  171.94	  998.16	   21.77	  999.84	   1.179	 -218.56	  270.04	  347.15	  234.86	  116.31	   72.80	   27.01	    0.25	  -11.28	  -12.37	  -24.52	  -44.47	  -47.86	  -48.50	  -45.81	  -43.13	  -38.50	  -29.17	  -18.78	   -9.43	   -3.29	   -0.61	    6.04	    3.14	   17.97	0	 -793.56	 -811.33	 -512.73	 -298.46	 -246.20	 -208.16	 -175.05	 -149.46	 -138.64	 -123.67	 -113.17	 -100.24	  -88.27	  -78.06	  -69.33	  -58.24	  -48.26	  -36.01	  -24.92	  -11.59	   -0.90	   12.32	   17.97	  393.73	  393.09	  394.49	  363.85	  361.08	  393.69	  398.59	  402.79	  362.25	  392.64	  391.76	  361.75	  359.55	  395.05	  387.24	  398.71	  368.54	  366.37	  365.84	  365.33	  365.07	  367.75	  371.63	  369.84	  368.21	  369.54	  369.84	  370.01	  365.67	  367.49	  358.15	  321.14	  292.37	  281.65	  277.23	  306.03	  342.55	  358.56	  367.08	  365.80	  367.20	  368.04	  368.96	  372.36	  371.11	  370.80	  371.16	  366.67	   14.87	   13.55	   14.01	   13.31	   14.10	   18.48	   18.22	   15.90	   14.03	   15.57	   16.13	   12.95	    1.55	   -1.47	   -2.13	   -1.32
      52	 10:22:45	  -4.000	  171.82	  998.16	   21.80	  999.75	   1.179	  -11.53	  283.17	  308.09	  168.38	   53.10	   17.28	  -10.81	  -45.37	  -51.43	  -47.41	  -60.59	  -75.08	  -73.91	  -72.06	  -65.46	  -61.12	  -55.58	  -44.57	  -34.17	  -24.51	  -20.30	  -19.05	  -15.25	    6.42	   27.31	0	 -655.80	 -451.38	 -322.10	 -245.32	 -195.96	 -156.31	 -125.64	 -106.51	 -101.96	  -92.00	  -85.43	  -75.69	  -66.90	  -59.08	  -52.67	  -43.56	  -35.21	  -24.31	  -14.02	   -1.38	    9.09	   22.89	   27.31	  392.21	  391.48	  392.89	  362.28	  359.46	  392.00	  397.01	  401.26	  360.60	  390.94	  390.32	  360.17	  358.23	  393.56	  385.56	  397.00	  367.02	  364.78	  364.27	  363.75	  363.49	  366.12	  370.14	  368.26	  366.55	  368.06	  368.15	  368.59	  363.31	  357.33	  335.03	  297.64	  300.35	  323.76	  348.31	  361.28	  367.48	  364.51	  363.78	  362.70	  363.90	  364.90	  365.98	  369.00	  367.96	  367.57	  367.71	  363.34	   14.80	   15.78	   16.18	   15.18	   15.62	   19.64	   19.70	   16.56	   13.92	   16.61	   16.24	   15.51	    1.52	   -1.46	   -2.13	   -1.33
