Sensor Position 	Cp for -6.0°           	Cp for -5.0°          	Cp for -4.0°          	Cp for -3.0°          	Cp for -2.0°          	Cp for -1.0°          	Cp for 0.0°           	Cp for 1.0°           	Cp for 2.0°            	Cp for 3.0°           	Cp for 4.0°           	Cp for 5.0°          	Cp for 6.0°           	Cp for 7.0°           	Cp for 8.0°           	Cp for 9.0°          	Cp for 9.34°         	Cp for 10.0°          	Cp for 10.5°         	Cp for 11.0°          	Cp for 11.5°          	Cp for 12.0°         	Cp for 12.5°         	Cp for 13.0°         	Cp for 13.5°         	Cp for 14.0°         	Cp for 14.5°          	Cp for 15.0°          	Cp for 15.5°          	Cp for 16.0°           	Cp for 9.5°
       46.96278 	-0.5267431853083631    	-0.4588973764124878   	-0.38047858149464764  	-0.3460493650400243   	-0.28648324660642     	-0.22265815070481298  	-0.15731411878314902  	-0.07978881564181299  	-0.01405760395033062   	0.04321521892357994   	0.10549159574591327   	0.16615968737053927  	0.2147954230715772    	0.27671440318330887   	0.32460556240392674   	0.3719010604402086   	0.38866892277926823  	0.4086831385729593    	0.4318245755844146   	0.4458821795347452    	0.466224008979821     	0.47477174697504326  	0.4867147537209809   	0.4915098262548861   	0.4929096300380758   	0.4953220578346368   	0.4926415825051246    	0.43885337755957987   	0.43801945190150937   	0.4221450813389539     	0.39093243527974514
       51.35062 	-0.44874135321955816   	-0.38935393314125466  	-0.3231461925023035   	-0.2923207262129133   	-0.24079603376784547  	-0.18548889280224387  	-0.12881173111266936  	-0.059774599848121945 	-0.0019656819083089428 	0.04938031218145798   	0.10471723620627639   	0.15936914986910836  	0.2024354534966043    	0.2585765201202764    	0.3017023898662059    	0.34506652408586985  	0.3604643657009566   	0.37815550287573707   	0.3984675492615961   	0.41172101061307315   	0.43006737509062326   	0.437632272131691    	0.4479669936799213   	0.4515111777267208   	0.45207705585184     	0.45353642575346337  	0.4508857334831679    	0.4029052250848997    	0.4011182415318916    	0.385094955673252      	0.3622811323131815
       55.73662 	-0.4167245645614958    	-0.3643659464583577   	-0.30962468361787526  	-0.28165839101329804  	-0.23582226287863955  	-0.1873354424736856   	-0.1377764319369268   	-0.07517244146320866  	-0.023498833722056904  	0.021116188984712733  	0.07013910445556909   	0.1197278980515447   	0.1583863089149539    	0.2094642554717696    	0.24845027998656366   	0.2877937012119593   	0.30128542703717065  	0.3171002314812926    	0.33535724678119233  	0.34771721635616526   	0.3637702852740216    	0.3701438599464173   	0.3789000793561571   	0.38137207327115175  	0.3808955443236829   	0.3814018563303685   	0.3783342012310379    	0.3352083314851083    	0.33237894085951214   	0.3164747872377398     	0.3029830614125284
       60.12075 	-0.3713649653743062    	-0.3252607897066964   	-0.2789779156837859   	-0.25455580712600806  	-0.21416997882802435  	-0.17146107191113005  	-0.12735236121104604  	-0.07052628422538752  	-0.023707315136574522  	0.015904153621772353  	0.05965546761125474   	0.10498528373922762  	0.13977189690445255   	0.18620368622344713   	0.22084138409258805   	0.25771281140298913  	0.2698642995634444   	0.2835942898623902    	0.299885623253981    	0.3110840535194986    	0.32535013888434683   	0.3305026081288536   	0.33773989151853656  	0.33896099694642545  	0.3375016270448021   	0.33687618280124926  	0.3333319987544498    	0.29401836058827097   	0.2902359120677371    	0.2740041447945799     	0.2713534525242845
       64.50502 	-0.3400927531966639    	-0.2984262533523577   	-0.25848717094262597  	-0.23802620926068288  	-0.20154196172010025  	-0.16321116450807585  	-0.12362947880894577  	-0.07186652189014361  	-0.02963414392071815   	0.006045961021010839  	0.04518090083188888   	0.0866687023208943   	0.11764308390636855   	0.16047112306013006   	0.19201138277072355   	0.2257853719225772   	0.23650727324062595  	0.24853962916421407   	0.2627759314698455   	0.27320000219572627   	0.28570888706678316   	0.28958068476496746  	0.29515011683850945  	0.2949714184832086   	0.2922909431536964   	0.2904146104230379   	0.28636411436955284   	0.25023726353957176   	0.24538262488723303   	0.228525413370523      	0.23751989725399725
       68.8901  	-0.30110672868186983   	-0.26450334890442     	-0.2300145663313631   	-0.21387214823585635  	-0.1803662066169539   	-0.1457582918070298   	-0.11070363110885365  	-0.06212746152624931  	-0.02412427796560975   	0.007445764804200541  	0.04333435116044715   	0.08056317518144986  	0.10858903390446069   	0.14751549230082112   	0.17601787997130078   	0.20720074297129262  	0.21682067109831973  	0.2270362604096829    	0.23936644692543899  	0.24874811057873167   	0.2594700118967805    	0.26209092110785903  	0.26655837999037935  	0.2651585762071897   	0.26036350367328454  	0.2572660655147371   	0.2529773049875176    	0.21985854313843356   	0.21390193129507312   	0.1958236143504742     	0.21863743771054467
       73.28011 	-0.2646224811412872    	-0.23209938047653927  	-0.20294176550328993  	-0.19055201286910023  	-0.1597861126981436   	-0.12890108029031977  	-0.09739060363894309  	-0.052358618103138195 	-0.01801875082616531   	0.009887975659978317  	0.042023896554907854  	0.07657224524639836  	0.10147088275164497   	0.13741903522632518   	0.16291333391590784   	0.1916539860601219   	0.20041020546986177  	0.20874946205056638   	0.21959049560548236  	0.22795953524540377   	0.2371625005433956    	0.2382942567936341   	0.24055776929411107  	0.23751989725399725  	0.23183133294358804  	0.22751278935715172  	0.2218540081059593    	0.19138593852717073   	0.18396995678218697   	0.16553424312698642    	0.2008569513581138
       77.67783 	-0.2337374487334634    	-0.20452026764178047  	-0.1792642334259322   	-0.16836363375258262  	-0.14388195907637125  	-0.1157369681164932   	-0.08708566514992952  	-0.044942636358154466 	-0.013998037831897018  	0.01087081661413279   	0.03964125181756368   	0.07118151152815716  	0.09342945676310839   	0.12616103884237395   	0.14891529608401083   	0.1750052559579295   	0.18257015299899726  	0.18912242602669374   	0.1982956082654688   	0.20544354247750132   	0.21312757175543628   	0.21282974116326825  	0.21336583622917069  	0.20877924510978316  	0.20178022619383465  	0.19594274658734145  	0.18918199214512735   	0.1610965673036829    	0.15237013095315985   	0.13304092552145527    	0.18277863441351486
       82.07965 	-0.20764748885954468   	-0.18143839674875878  	-0.16020307552717883  	-0.14510306450426014  	-0.1306880638433279   	-0.1044194056141084   	-0.0785677102139241   	-0.03868819392262601  	-0.010930382732566394  	0.010007107896845526  	0.035709888000945794  	0.06421227567142546  	0.08351169804391326   	0.11356280479366665   	0.1335770205873577    	0.15743325102001623  	0.1639259579292791   	0.16851254904866664   	0.176137012208168    	0.18236167158447963   	0.18834806648705688   	0.18650151681561514  	0.18504214691399185  	0.17851965694551217  	0.16991235283185632  	0.16258572026452303  	0.15478255874972083   	0.12896064640875335   	0.11874505709739022   	0.0980160478824959     	0.16344942898181028
       86.47978 	-0.17378415053004062   	-0.15034488292641732  	-0.1321474337449512   	-0.11183538735909211  	-0.110197319102168    	-0.08517954936005419  	-0.0620083292893821   	-0.024034928787959348 	0.0005956611843360433  	0.018078316944598914  	0.04065387583093495   	0.06626730675738482  	0.08306495215566123   	0.1102271021613848    	0.12788845627694848   	0.14927269279461244  	0.15478255874972083  	0.15746303407923304   	0.16368769345554468  	0.16854233210788344   	0.17303957404962056   	0.1694953900028211   	0.16595120595602164  	0.15767151549375064  	0.1470687464125691   	0.13804447946987802  	0.12902021252718698   	0.10546181268669645   	0.0936677212368428    	0.0715686912979756     	0.15388906697321678
